source,archive,member,dest_path,label,generator,domain,split,sha256
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/35ce659f0344afb5f747a8c5328dadac.png,data/wildfake/adm/c863ccaa056eb1f8.jpg,1,adm,imagenet,val,fbf758cc270332dd36784bd022c34cc8a7e2ac2a9bc8ebeafb4849405c937ce4
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/9b20e0d54160dd9a54723f9daadc46e1.png,data/wildfake/adm/01e2c71173f5c5c3.jpg,1,adm,imagenet,val,0647b7b90f1482a1fc9d04f01059752c9c11b0f0979ada6f54dd756351f725bd
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/2853df569fe99604923068f96ddac505.png,data/wildfake/adm/e89546dd6a49dd1c.jpg,1,adm,imagenet,val,b09117de51fc6483e187119d0773eda49ab1c361c499010a3b151317598626cd
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/6b7877187e8a578ffa56ffcb91b2491a.png,data/wildfake/adm/434b2063a609d47c.jpg,1,adm,imagenet,val,4ee4d99aa94ec396038d765a574cd46bd209dc252d8b17184ba0b1a5134dd20b
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/8678602f07effacea7034009c28672e5.png,data/wildfake/adm/631c2172bfa0c068.jpg,1,adm,imagenet,val,77c2077cd27da06b39e748b164c0ca33a3066b68fe6d61def2a7a298e5a03d7d
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/b64fde0926a15074209f51c22283c101.png,data/wildfake/adm/6b7b9d86b2e7d421.jpg,1,adm,imagenet,val,30030441e086b94712f63188d2d542efbc4f67805978684129339830253bba15
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/aadd28d0c9e36c04087a0f06ea289367.png,data/wildfake/adm/faac77dac6e0e670.jpg,1,adm,imagenet,val,7749bb66a7e949bb275b7ccedd8c6d65f09dc2a3f5a028d5ecc458390a3c6ffa
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/65cdc09129a8f7c7fed8fe9daa39aa1f.png,data/wildfake/adm/a3aed8a5b8d97367.jpg,1,adm,imagenet,val,966f0c7a56e433f287edb6ccbaefe502d914905b7366ccb7ccddb4523ddf9909
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/282471aa274d15ed2e0e15dc3f55d3d2.png,data/wildfake/adm/316b0e7bc00e3841.jpg,1,adm,imagenet,val,aa696d4e67b4e52d2e39a8d84cec6fd6a85d588782dce0b00f93b345d909af39
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/96dc1f31c1332fb5887c9fcb3c10ae3b.png,data/wildfake/adm/b5afb459ad42edd1.jpg,1,adm,imagenet,val,045ddc28db546aceed5e8e4f8805109c104d777cddc546afff1000e2a8148a65
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/e59214aa85005eecfe20f3f503fdc6d7.png,data/wildfake/adm/049141877135fa07.jpg,1,adm,imagenet,val,f92b54e9b5250ab1e9e0b1679ac572715776a9e901435a7523b40acd91ebf88b
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/b8ba43d92bec0145b35f89d2c3d4d745.png,data/wildfake/adm/b67d2d98e1844ebb.jpg,1,adm,imagenet,val,7bff21e4b1d1677cbdba81df7f19069cac273f5e2dd6a3fe892f472e98c7361c
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/a57052457a6933cbcf6b1eddf7c31737.png,data/wildfake/adm/b4605326ff5425bb.jpg,1,adm,imagenet,val,3ab135ef19056f9a1a3d3355c3afd0d1c571fa8170446e42a645903de8cec92e
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/fced5b2483706f7e6bfb62c9cafebaec.png,data/wildfake/adm/06e20072f885cf36.jpg,1,adm,imagenet,val,cb4fbc4a4a3e8ac10aa8b3f05cc5a62a99ddfabd81f01dfc7c51a2c05599651b
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/ca2c612cdfce5080a4b53ebc3ab3e50a.png,data/wildfake/adm/f9a4bcb54031c4a1.jpg,1,adm,imagenet,val,13af4a87f0b8effb6e4bb7aafff77d51085e6daf65e4c4035a5e8558b6030660
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/e2450e0bfe039898f9a11e93eb287928.png,data/wildfake/adm/ede94e07dca5f117.jpg,1,adm,imagenet,val,ecff2fda8c8f35cf50789a90583567c66e889e983a09cdf67ca94213efc4cf7c
wildfake,Images/Diffusion_based/ADM.zip,ADM/imgs/43ee1f0419b713531eddfe828e6f586f.png,data/wildfake/adm/fa08fe270d4513a6.jpg,1,adm,imagenet,val,1e68a46ad2564485d3eaa96d2f8b9d1ddc40dcfc2ebcd4acc79963519edc3e47
